N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
29400101;SOLAIRE;ECA1;7   RUE DUBAN;16;MIX;Z2 MIX 6H 5U;16P;2.4;"{""type"": ""Point"", ""coordinates"": [2.277664000008708, 48.85693999861718]}";48.8569399986,2.27766400001
29550301;PILE;ECM1;55   RUE DU COUEDIC;14;MIX;Z2 MIX 6H 5U;14L;2.4;"{""type"": ""Point"", ""coordinates"": [2.329876000260284, 48.83003799927347]}";48.8300379993,2.32987600026
30010102;PILE;ECM1;5  vis-à-vis RUE DUPIN;6;MIX;Z1 MIX 6H 5U;6F;4.0;"{""type"": ""Point"", ""coordinates"": [2.324920000369949, 48.85001599946245]}";48.8500159995,2.32492000037
30450102;PILE;ECM1;4   RUE DUROC;7;MIX;Z1 MIX 6H 5U;7N;4.0;"{""type"": ""Point"", ""coordinates"": [2.31492199939548, 48.84817599888953]}";48.8481759989,2.3149219994
30590201;PILE;ECM1;57   RUE DUTOT;15;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.308511000123912, 48.83831299908888]}";48.8383129991,2.30851100012
30760202;PILE;ECM1;12   RUE EBLE;7;MIX;Z1 MIX 6H 5U;7K;4.0;"{""type"": ""Point"", ""coordinates"": [2.313183999532566, 48.849114999037134]}";48.849114999,2.31318399953
31160904;PILE;ECM1;68  vis-à-vis BOULEVARD EDGAR QUINET;14;MIX;Z2 MIX 6H 5U;14N;2.4;"{""type"": ""Point"", ""coordinates"": [2.323885999348297, 48.84146499880197]}";48.8414649988,2.32388599935
31180107;SOLAIRE;ECA1;29   RUE D EDIMBOURG;8;MIX;Z1 MIX 6H 5U;8K;4.0;"{""type"": ""Point"", ""coordinates"": [2.318905000296242, 48.87928099921805]}";48.8792809992,2.3189050003
31200301;SOLAIRE;ECA1;63   AVENUE EDISON;13;MIX;Z2 MIX 6H 5U;13L;2.4;"{""type"": ""Point"", ""coordinates"": [2.359573000247532, 48.82957299896576]}";48.829572999,2.35957300025
31200402;SOLAIRE;ECA1;70   AVENUE EDISON;13;MIX;Z2 MIX 6H 5U;13L;2.4;"{""type"": ""Point"", ""coordinates"": [2.359044000507063, 48.82994199879901]}";48.8299419988,2.35904400051
31700101;SOLAIRE;ECA1;1   RUE DE L EGALITE;19;MIX;Z2 MIX 6H 5U;19M;2.4;"{""type"": ""Point"", ""coordinates"": [2.393979000276436, 48.8812519989643]}";48.881251999,2.39397900028
