Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
21303;Jean Monnet - Iles;32;48.8233939841,2.24970731949
18039;Jardins d'Eole;20;48.8869703,2.3668488
14031;Didot - Place de Moro-Giafferi;22;48.8337,2.3215
33012;Landy - Heurtault;30;48.9150965345,2.37595137209
14026;Plantes - Moulin Vert;45;48.8300575531,2.32323020697
10032;Claude Vellefaux - Hôpital Saint-Louis;32;48.872859139,2.37007170699
12156;Niger - Soult;24;48.8436990637,2.41036123722
12002;Lacuée - Lyon;16;48.849268482,2.3704585433
21953;Gare de Bellevue;20;48.8192404686,2.22953092307
24006;Adolphe Lalyre - Armand Silvestre;40;48.9040626696,2.27341622114
33020;Waldeck Rochet - Germaine Tillon;31;48.911059602,2.36763015389
27001;Square Victor Basch;20;48.9143048623,2.22891569138
1023;Saint-Honoré - Musée du Louvre;22;48.8634431328,2.33487818464
19114;Manin - Secrétan;20;48.8791665,2.3787959
8018;Saint-Augustin;31;48.8762009747,2.31978625059
44010;8 Mai 1945 - 10 Juillet 1940;30;48.7845670297,2.39790357649
9025;Taitbout - Châteaudun;39;48.8763839694,2.33535667793
21022;Dôme - République;25;48.832681,2.250257
12008;Hector Malot - Daumesnil;54;48.8469355299,2.37708762288
17006;Guy Môquet - Compoint;36;48.8921355904,2.32321947813
25004;Marcel Pourtout - Édouard Manet;24;48.8755562076,2.16559678316
20033;Etienne Dolet - Place Maurice Chevalier;33;48.8679830336,2.38514053111
19007;Flandre - Ourcq;30;48.8926015919,2.37909156829
21016;Point du Jour - Jean Jaurès;26;48.8287531414,2.24591146701
21107;Bertrand Sincholle - Henri Barbusse;24;48.8992598239,2.3042294383
11025;Froment - Bréguet;43;48.8570414505,2.37289470307
6029;Vaugirard - Monsieur le Prince;26;48.8489514416,2.34113294631
7025;Octave Gréard - Tour Eiffel;33;48.8565029777,2.29317875433
9028;Moncey - Blanche;17;48.8800658747,2.33108103275
10008;Cité Riverin - Château d'Eau;18;48.8707024236,2.3587398639
10042;Enghien - Faubourg Poissonnière;16;48.8724200631,2.34839523628
